Motorcycle,Color,Year,Mileage,Price,MotorcycleStrip
PCX150,black,2558.0,54.0,54000.0,PCX150
PCX150,white,2557.0,2592.655274888559,51000.0,PCX150
FINO,black,2556.0,2592.655274888559,21000.0,FINO
FINO,pink,2555.0,2592.655274888559,21000.0,FINO
FINO,Other,2556.0,2592.655274888559,21500.0,FINO
MOOVE,black,2559.0,29.0,29500.0,MOOVE
SCOOPY-I,Other,2558.0,2592.655274888559,28500.0,SCOOPY-I
SCOOPY-I,blue,2555.0,2592.655274888559,25000.0,SCOOPY-I
SCOOPY-I,red,2561.0,9000.0,37500.0,SCOOPY-I
ZOOMER-X,green,2557.0,2592.655274888559,25000.0,ZOOMER-X
FINO,orange,2550.0,2592.655274888559,17000.0,FINO
FINO FI,blue,2557.0,2592.655274888559,24000.0,FINO FI
PCX150,gray,2561.0,73.0,73000.0,PCX150
PCX150,red,2557.0,2592.655274888559,38000.0,PCX150
ZOOMER-X,blue,2561.0,8900.0,39000.0,ZOOMER-X
PCX150,white,2560.0,65.0,65000.0,PCX150
SCOOPY-I,blue,2561.0,36.0,36000.0,SCOOPY-I
PCX150,red,2558.0,2592.655274888559,53500.0,PCX150
CLICK125I,red,2559.0,32.0,32500.0,CLICK125I
GRAND FILANO,blue,2561.0,3400.0,41500.0,GRAND FILANO
FINO,black,2554.0,2592.655274888559,19500.0,FINO
FINO,pink,2554.0,2592.655274888559,19500.0,FINO
CLICK125I,red,2561.0,2592.655274888559,36500.0,CLICK125I
CLICK125I,black,2561.0,6800.0,38000.0,CLICK125I
CLICK110I,black,2552.0,2592.655274888559,17000.0,CLICK110I
MIO,blue,2548.0,2592.655274888559,14000.0,MIO
FINO FI,black,2556.0,24.0,24000.0,FINO FI
FINO,blue,2552.0,2592.655274888559,19000.0,FINO
FINO FI,black,2559.0,30.0,30000.0,FINO FI
CLICK,white,2550.0,2592.655274888559,15000.0,CLICK
CLICK110I,white,2553.0,2592.655274888559,18000.0,CLICK110I
SCOOPY-I,red,2554.0,2592.655274888559,21000.0,SCOOPY-I
FINO,green,2554.0,2592.655274888559,20500.0,FINO
ZOOMER-X,pink,2556.0,2592.655274888559,25500.0,ZOOMER-X
CLICK110I,black,2551.0,2592.655274888559,18500.0,CLICK110I
ZOOMER-X,orange,2561.0,37.0,37500.0,ZOOMER-X
CLICK110I,red,2555.0,2592.655274888559,23000.0,CLICK110I
SPACY-I,Other,2556.0,2592.655274888559,22500.0,SPACY-I
CLICK110I,red,2552.0,2592.655274888559,19000.0,CLICK110I
ZOOMER-X,white,2561.0,37.0,37500.0,ZOOMER-X
CLICK125I,Other,2561.0,36.0,36000.0,CLICK 125I
CLICK125I,Other,2557.0,2592.655274888559,26500.0,CLICK125I
PCX150,red,2556.0,2592.655274888559,42500.0,PCX150
SCOOPY-I,blue,2561.0,9400.0,36500.0,SCOOPY-I
GRAND FILANO,red,2560.0,2592.655274888559,37500.0,GRAND FILANO
WAVE110I,black,2557.0,2592.655274888559,26000.0,WAVE110I
CLICK125I,white,2557.0,2592.655274888559,28500.0,CLICK125I
SCOOPY-I,Other,2557.0,2592.655274888559,25500.0,SCOOPY-I
CLICK125I,Other,2561.0,2592.655274888559,37000.0,CLICK125I
CLICK125,Other,2556.0,2592.655274888559,25500.0,CLICK125
FINO FI,Other,2557.0,2592.655274888559,24000.0,FINO FI
CLICK110I,white,2553.0,2592.655274888559,21500.0,CLICK110I
CLICK125I,gray,2557.0,2592.655274888559,27000.0,CLICK125I
PCX150,red,2561.0,160.0,82000.0,PCX150
PCX150,white,2559.0,7600.0,66000.0,PCX150
ZOOMER-X,yellow,2556.0,9900.0,27000.0,ZOOMER-X
SCOOPY-I,pink,2561.0,7000.0,36500.0,SCOOPY-I
GRAND FILANO,gray,2561.0,38.0,38000.0,GRAND FILANO
GRAND FILANO,blue,2558.0,2592.655274888559,32000.0,GRAND FILANO
GRAND FILANO,black,2558.0,2592.655274888559,32000.0,GRAND FILANO
FINO125I,blue,2560.0,2592.655274888559,33000.0,FINO125I
SCOOPY-I,black,2558.0,28.0,28000.0,SCOOPY-I
SCOOPY-I,pink,2561.0,7000.0,36500.0,SCOOPY-I
PCX150,white,2561.0,2592.655274888559,77000.0,NEW PCX150
PCX150,Other,2557.0,3600.0,62500.0,PCX150
QBIX,gray,2561.0,37.0,37500.0,QBIX
PCX125,red,2553.0,2592.655274888559,34000.0,PCX125
SCOOPY-I,black,2558.0,29.0,29900.0,SCOOPY-I S12
ZOOMER-X,Other,2556.0,2592.655274888559,26500.0,ZOOMER-X
SCOOPY-I,Other,2556.0,2592.655274888559,26000.0,SCOOPY-I
SCOOPY-I,red,2558.0,29.0,29000.0,SCOOPY-I
FINO,white,2550.0,2592.655274888559,17000.0,FINO
QBIX,Other,2561.0,2900.0,42500.0,QBIX
PCX150,black,2559.0,7800.0,69000.0,PCX150
ZOOMER-X,Other,2561.0,36.0,36500.0,ZOOMER-X
ZOOMER-X,black,2559.0,2592.655274888559,31500.0,ZOOMER-X
PCX150,brown,2556.0,2592.655274888559,34500.0,PCX150
SCOOPY-I,red,2560.0,35.0,35500.0,SCOOPY-I
SCOOPY-I,Other,2561.0,8000.0,37500.0,SCOOPY-I
SCOOPY-I,pink,2561.0,4200.0,37000.0,SCOOPY-I
CLICK125I,red,2561.0,3400.0,38000.0,CLICK125I
FINO,white,2556.0,2592.655274888559,23500.0,FINO
CLICK125I,Other,2557.0,2592.655274888559,28000.0,CLICK125I
PCX150,black,2555.0,2592.655274888559,42000.0,PCX150
FINO125I,Other,2560.0,8300.0,33000.0,FINO125I
GRAND FILANO,red,2559.0,2592.655274888559,34000.0,GRAND FILANO
CLICK125I,red,2560.0,5500.0,38000.0,CLICK125I
QBIX,Other,2560.0,37.0,37000.0,QBIX
PCX150,blue,2559.0,2592.655274888559,68000.0,PCX150
FINO,white,2554.0,2592.655274888559,18000.0,FINO
CLICK125I,Other,2561.0,2592.655274888559,36500.0,CLICK125I
ZOOMER-X,black,2557.0,2592.655274888559,28000.0,ZOOMER-X
FINO FI,blue,2556.0,2592.655274888559,24500.0,FINO FI
PCX125,red,2554.0,38.0,38500.0,PCX125
CLICK125I,Other,2560.0,2592.655274888559,34000.0,CLICK125I
PCX150,red,2560.0,8400.0,69000.0,PCX150
SPACY-I,red,2555.0,2592.655274888559,21000.0,SPACY-I
